"filename", "language", "JSON", "JavaScript", "Properties", "Markdown", "HTML", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\perso\Programming\Ecommerce\README.md", "Markdown", 0, 0, 0, 200, 0, 0, 0, 0, 0, 21, 221
"c:\Users\perso\Programming\Ecommerce\client\.env", "Properties", 0, 0, 13, 0, 0, 0, 0, 0, 3, 3, 19
"c:\Users\perso\Programming\Ecommerce\client\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\perso\Programming\Ecommerce\client\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\perso\Programming\Ecommerce\client\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\perso\Programming\Ecommerce\client\package-lock.json", "JSON", 7533, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7534
"c:\Users\perso\Programming\Ecommerce\client\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\perso\Programming\Ecommerce\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\perso\Programming\Ecommerce\client\src\api\cart.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\perso\Programming\Ecommerce\client\src\assets\supportBot.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 135, 1, 2, 138
"c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 156, 0, 0, 6, 21, 183
"c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\OTPVerification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 3, 7, 65
"c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 7, 25
"c:\Users\perso\Programming\Ecommerce\client\src\components\Auth\SignupForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 184, 0, 0, 6, 18, 208
"c:\Users\perso\Programming\Ecommerce\client\src\components\ComingSoon\ComingSoon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\perso\Programming\Ecommerce\client\src\components\Dashboard\ProductCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 2, 4, 69
"c:\Users\perso\Programming\Ecommerce\client\src\components\Footer\CheckoutFooter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 3, 5, 85
"c:\Users\perso\Programming\Ecommerce\client\src\components\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 5, 7, 113
"c:\Users\perso\Programming\Ecommerce\client\src\components\Loading\LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 2, 3, 29
"c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\CheckoutNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 2, 4, 25
"c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 6, 15, 144
"c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\SearchBar\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 5, 9, 92
"c:\Users\perso\Programming\Ecommerce\client\src\components\Navbar\SellNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 3, 7, 61
"c:\Users\perso\Programming\Ecommerce\client\src\components\ProductCardDisplay\ProductCardDisplayClothing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 163, 0, 0, 14, 16, 193
"c:\Users\perso\Programming\Ecommerce\client\src\components\ProductCardDisplay\ProductCardDisplayElectronics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 10, 14, 140
"c:\Users\perso\Programming\Ecommerce\client\src\components\ProductInfo\ClothingProductInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 298, 0, 0, 7, 10, 315
"c:\Users\perso\Programming\Ecommerce\client\src\components\ProductInfo\ElectronicsProductInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 259, 0, 0, 5, 9, 273
"c:\Users\perso\Programming\Ecommerce\client\src\components\Products\ClothingFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 266, 0, 0, 11, 21, 298
"c:\Users\perso\Programming\Ecommerce\client\src\components\Products\ElectronicsFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 177, 0, 0, 8, 17, 202
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Addresses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 217, 0, 0, 7, 12, 236
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 1, 9, 95
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\ContactChatbot.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 11, 6, 107
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\ProcessFiles\greetings.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 5, 1, 12
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\ProcessFiles\orders.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 16, 7, 67
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\ContactChatBot\processUserInput.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 12, 5, 47
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\OrderModal\OrderCancelledModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 1, 3, 37
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\OrderModal\OrderDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 1, 9, 145
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Orders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 2, 11, 173
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\UserProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 9, 11, 146
"c:\Users\perso\Programming\Ecommerce\client\src\components\Profile\Wishlist.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 178, 0, 0, 11, 13, 202
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\AddProduct.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 2, 7, 65
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\AddProduct\ClothingForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 409, 0, 0, 15, 23, 447
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\AddProduct\ElectronicsForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 368, 0, 0, 14, 22, 404
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\RecentOrders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 2, 5, 109
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\SellerOrders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 222, 0, 0, 2, 21, 245
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\SellerProductsModal\SellerProductModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 14, 12, 190
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\SellerProductsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 7, 14, 110
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerDashboard\TopProducts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 2, 4, 63
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerRegistration\BankDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 204, 0, 0, 20, 18, 242
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerRegistration\ProgressStepper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 1, 4, 77
"c:\Users\perso\Programming\Ecommerce\client\src\components\SellerRegistration\StoreSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 133, 0, 0, 5, 12, 150
