Date : 2025-02-23 11:46:58
Directory : c:\Users\perso\Programming\Ecommerce
Total : 107 files,  22150 codes, 560 comments, 1022 blanks, all 23732 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          7 |     11,724 |          0 |          7 |     11,731 |
| JavaScript JSX |         61 |      8,144 |        357 |        667 |      9,168 |
| JavaScript     |         31 |      1,851 |        190 |        296 |      2,337 |
| Markdown       |          2 |        205 |          0 |         25 |        230 |
| XML            |          2 |        136 |          1 |          2 |        139 |
| CSS            |          1 |         47 |          5 |         15 |         67 |
| Properties     |          2 |         29 |          7 |          7 |         43 |
| HTML           |          1 |         14 |          0 |          3 |         17 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        107 |     22,150 |        560 |      1,022 |     23,732 |
| . (Files)                                                                                                             |          3 |        207 |          0 |         23 |        230 |
| client                                                                                                                |         76 |     16,120 |        406 |        722 |     17,248 |
| client (Files)                                                                                                        |          7 |      7,666 |          4 |         16 |      7,686 |
| client\public                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| client\src                                                                                                            |         68 |      8,453 |        402 |        706 |      9,561 |
| client\src (Files)                                                                                                    |          3 |        155 |         14 |         29 |        198 |
| client\src\api                                                                                                        |          1 |         32 |          4 |          5 |         41 |
| client\src\assets                                                                                                     |          1 |        135 |          1 |          2 |        138 |
| client\src\components                                                                                                 |         45 |      5,646 |        275 |        468 |      6,389 |
| client\src\components\Auth                                                                                            |          4 |        413 |         15 |         53 |        481 |
| client\src\components\ComingSoon                                                                                      |          1 |         13 |          0 |          3 |         16 |
| client\src\components\Dashboard                                                                                       |          1 |         63 |          2 |          4 |         69 |
| client\src\components\Footer                                                                                          |          2 |        178 |          8 |         12 |        198 |
| client\src\components\Loading                                                                                         |          1 |         24 |          2 |          3 |         29 |
| client\src\components\Navbar                                                                                          |          4 |        271 |         16 |         35 |        322 |
| client\src\components\Navbar (Files)                                                                                  |          3 |        193 |         11 |         26 |        230 |
| client\src\components\Navbar\SearchBar                                                                                |          1 |         78 |          5 |          9 |         92 |
| client\src\components\ProductCardDisplay                                                                              |          2 |        279 |         24 |         30 |        333 |
| client\src\components\ProductInfo                                                                                     |          2 |        557 |         12 |         19 |        588 |
| client\src\components\Products                                                                                        |          2 |        443 |         19 |         38 |        500 |
| client\src\components\Profile                                                                                         |         11 |      1,104 |         76 |         87 |      1,267 |
| client\src\components\Profile (Files)                                                                                 |          5 |        766 |         30 |         56 |        852 |
| client\src\components\Profile\ContactChatBot                                                                          |          4 |        170 |         44 |         19 |        233 |
| client\src\components\Profile\ContactChatBot (Files)                                                                  |          2 |        120 |         23 |         11 |        154 |
| client\src\components\Profile\ContactChatBot\ProcessFiles                                                             |          2 |         50 |         21 |          8 |         79 |
| client\src\components\Profile\OrderModal                                                                              |          2 |        168 |          2 |         12 |        182 |
| client\src\components\SellerDashboard                                                                                 |          8 |      1,467 |         58 |        108 |      1,633 |
| client\src\components\SellerDashboard (Files)                                                                         |          5 |        526 |         15 |         51 |        592 |
| client\src\components\SellerDashboard\AddProduct                                                                      |          2 |        777 |         29 |         45 |        851 |
| client\src\components\SellerDashboard\SellerProductsModal                                                             |          1 |        164 |         14 |         12 |        190 |
| client\src\components\SellerRegistration                                                                              |          3 |        409 |         26 |         34 |        469 |
| client\src\components\Sidebar                                                                                         |          1 |         63 |          5 |          8 |         76 |
| client\src\components\modals                                                                                          |          1 |         30 |          2 |          3 |         35 |
| client\src\components\payment                                                                                         |          2 |        332 |         10 |         31 |        373 |
| client\src\config                                                                                                     |          1 |         15 |          2 |          4 |         21 |
| client\src\contexts                                                                                                   |          3 |        102 |          9 |         14 |        125 |
| client\src\pages                                                                                                      |         14 |      2,368 |         97 |        184 |      2,649 |
| server                                                                                                                |         28 |      5,823 |        154 |        277 |      6,254 |
